
Negative_1:23.366406986893917 :766
Negative_2:6.017778558144309 :448
Negative_3:42.82119227822661 :1413
Positive_4:-9.151977280062095 :594
Positive_5:-36.270577841625325 :1249
Positive_6:18.863537592630536 :941

Negative_1:15.110835970497128 :991
Negative_2:26.642968729054882 :1019
Negative_3:2.997111655658218 :1568
Positive_4:-12.492285672084192 :935
Positive_5:-8.044561989084043 :594
Positive_6:-6.811008664870174 :635

Negative_1:24.95716388011194 :1125 :0.02218414567121061
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

1.txt_1:-2.863433120033977 :581 :4.507154368324617
10.txt_2:-1.2185559887310502 :254 :4.520253547743681
neg_0.txt_1:-6.711869911345583 :655 :3.975287036435789
neg_1.txt_2:-0.6035125750767383 :718 :4.9159453238054684
neg_2.txt_3:-12.191688543580131 :748 :3.370095114494635
personally_written_review.txt_4:0.9541339930570765 :473 :5.201719660265766
pos_0.txt_5:5.474108862385765 :806 :5.679169834042899
pos_1.txt_6:1.3923233348162602 :680 :5.2047534315906265
pos_2.txt_7:12.590828442707702 :731 :6.7224115516700005

neg_0.txt_1:-6.711869911345583 :655 :3.975287036435789
neg_1.txt_2:-0.6035125750767383 :718 :4.9159453238054684
neg_2.txt_3:-12.191688543580131 :748 :3.370095114494635
personally_written_review.txt_4:0.9541339930570765 :473 :5.201719660265766
pos_0.txt_5:5.474108862385765 :806 :5.679169834042899
pos_1.txt_6:1.3923233348162602 :680 :5.2047534315906265
pos_2.txt_7:12.590828442707702 :731 :6.7224115516700005

1.txt_1:-2.863433120033977 :581 :4.507154368324617
neg_0.txt_1:-6.711869911345583 :655 :3.975287036435789
neg_1.txt_2:-0.6035125750767383 :718 :4.9159453238054684
neg_2.txt_3:-12.191688543580131 :748 :3.370095114494635
personally_written_review.txt_4:0.9541339930570765 :473 :5.201719660265766
pos_0.txt_5:5.474108862385765 :806 :5.679169834042899
pos_1.txt_6:1.3923233348162602 :680 :5.2047534315906265
pos_2.txt_7:12.590828442707702 :731 :6.7224115516700005

neg_0.txt_1:-6.711869911345583 :655 :3.975287036435789
neg_1.txt_2:-0.6035125750767383 :718 :4.9159453238054684
neg_2.txt_3:-12.191688543580131 :748 :3.370095114494635
personally_written_review.txt_4:0.9541339930570765 :473 :5.201719660265766
pos_0.txt_5:5.474108862385765 :806 :5.679169834042899
pos_1.txt_6:1.3923233348162602 :680 :5.2047534315906265
pos_2.txt_7:12.590828442707702 :731 :6.7224115516700005

neg_0.txt_1:-6.711869911345583 :655 :3.975287036435789
neg_1.txt_2:-0.6035125750767383 :718 :4.9159453238054684
neg_2.txt_3:-12.191688543580131 :748 :3.370095114494635
personally_written_review.txt_4:0.9541339930570765 :473 :5.201719660265766
pos_0.txt_5:5.474108862385765 :806 :5.679169834042899
pos_1.txt_6:1.3923233348162602 :680 :5.2047534315906265
pos_2.txt_7:12.590828442707702 :731 :6.7224115516700005

review.txt_1:0 :14 :5.0
review.txt_1:0 :26 :5.0
review.txt_1:0.10608842535008045 :74 :5.143362736959568

